,Date,User,Tweet
110,2019-03-01 10:17:17+00:00,PMOIndia,"My family is 130 crore Indians.

I will live for them, I will die for them.

I am not in public life to further a dynasty.

I am here to do whatever I can for the growth of India.

I seek your blessings to create an India where the dreams of the poorest of poor are fulfilled: PM"
111,2019-03-01 10:15:59+00:00,PMOIndia,"India remembers 2009 and how the DMK and Congress allotted portfolios after the elections.

Ministers were being picked not by the Prime Minister but by those who had nothing to do with public service.

There was telephone bargaining for minister posts: PM"
112,2019-03-01 10:14:17+00:00,IndianExpress,"Pulwama attack hurt every Indian, we’ll launch decisive fight against terror: Rajnath | READ 
https://t.co/ytJnqiS3JG"
113,2019-03-01 10:12:13+00:00,PMOIndia,"We are betting on India’s youth and their talent.

That is why, the Mudra Yojana was launched to give wings to the spirit of enterprise of young India.

15 crore people have got loans totaling worth over Rs 7 lakh crore.

Tamil Nadu is one of the top states under this scheme: PM"
114,2019-03-01 10:11:23+00:00,PMOIndia,"Today we are fulfilling the dreams of Rajaji by creating an economy that is reform oriented and people-friendly.

India’s ranking for ‘Ease of Doing Business' has come risen by 65 places.

Now, it is possible to get a loan up to Rupees one crore in 59 minutes: PM"
115,2019-03-01 10:07:31+00:00,PMOIndia,"They should clarify- Do they believe our armed forces or they believe those forces who support terrorism on our soil?

I want to tell them- Modi will come and go, India will remain. Please stop weakening India to strengthen your own politics: PM"
116,2019-03-01 10:04:58+00:00,PMOIndia,"These are the same people whose statements are helping Pakistan &amp; harming India.

They are the same people whose statements are being happily quoted in Parliament of Pakistan and in the radio of Pakistan.

I want to ask them- do you support our armed forces or suspect them?: PM"
117,2019-03-01 10:03:40+00:00,PMOIndia,"Sadly, a few parties, guided by Modi hatred have started hating India.

No wonder, while the entire nation supports our armed forces, they suspect the armed forces.

The world is supporting India’s fight against terror but a few parties suspect our fight against terror: PM"
118,2019-03-01 10:01:34+00:00,PMOIndia,"Influence of terrorists and terrorism has been curtailed and it is going to be curtailed even more.

This is a New India.

This is an India that will return the damage done by terrorists with interest: PM"
119,2019-03-01 09:59:32+00:00,PMOIndia,"26/11 happened, India expected action against terrorists but nothing happened.

Uri happened and you saw what our brave men did.

Pulwama happened and you saw what our brave men did.

I salute all those who are serving the nation. Their vigilance keeps our nation secure: PM"
120,2019-03-01 09:59:10+00:00,PMOIndia,"India has been facing the menace of terrorism for years.

But, there is a big difference now- India will no longer be helpless in the wake of terror.

From 2004 to 2014 there were several terror attacks.

The nation expected perpetrators to be punished but nothing happened: PM"
121,2019-03-01 09:58:01+00:00,PMOIndia,"Government of India is most sensitive to the safety and well-being of fishermen.

Due to sustained diplomatic efforts, since May 2014, hundreds of fishermen have been released by Sri Lankan authorities: PM"
122,2019-03-01 09:40:18+00:00,PMOIndia,"I have flagged off the fastest train, Tejas, between Madurai and Chennai. 

This is one of the most modern trains and is a great example of ‘Make in India’ having been manufactured in the Integral Coach Factory of Chennai itself: PM"
123,2019-03-01 09:39:19+00:00,PMOIndia,"I am proud that India’s first woman Defence Minister is from Tamil Nadu. 

It makes every Indian proud that the brave Wing Commander Abhinandan hails from Tamil Nadu: PM"
124,2019-03-01 09:37:53+00:00,IndianExpress,Everybody should be proud that Wing Commander Abhinandan is from Tamil Nadu: PM Modi speaking at a rally in Kanyakumari
125,2019-03-01 08:39:17+00:00,IndianExpress,"Ahead of IAF pilot #AbhinandanVarthaman's return, petition in Pak court to stall release. The plea alleged that the pilot committed crime against Pakistan and should face trial in Islamabad

https://t.co/nJGthSO8hV"
126,2019-03-01 08:27:48+00:00,IndianExpress,"India wanted to fly #AbhinandanVarthaman in a special plane, Pakistan chose Wagah land route for return: Sources

Read more 

https://t.co/D2TgDBKz0A"
127,2019-03-01 07:32:22+00:00,IndianExpress,"Pakistan skips OIC meet, MEA Sushma Swaraj to shorty address the meet in Abu Dhabi 
https://t.co/e6p4upkrhT"
128,2019-03-01 06:47:46+00:00,IndianExpress,"India to grow at 7.3% in 2019, 2020: Moody’s #ExpressBiz

https://t.co/M3HSC1m5zi"
129,2019-03-01 06:41:34+00:00,IndianExpress,The SECC has identified a total of 1.82 lakh households where at least one person is employed in manual scavenging in rural India. https://t.co/3c6LJaSqWz
130,2019-03-01 06:22:07+00:00,IndianExpress,"“Creating a situation for the return of pilot Abhinandan in such a short span of time is our diplomatic victory,” Amit Shah said.
https://t.co/yt5SQx4EUz"
131,2019-03-01 06:17:12+00:00,IndianExpress,"India waits for its IAF pilot. With flags in their hands and loud cheers, crowd at Wagah border waits to welcome #AbhinandanVarthaman back home.

📷: Gurmeet Singh

LIVE: https://t.co/PmS0YyvdbH https://t.co/kgDGvUexYr"
132,2019-03-01 06:01:11+00:00,IndianExpress,"US again asks Pakistan to deny safe havens to terrorists

https://t.co/QlGl2d0E1O"
133,2019-03-01 05:32:41+00:00,IndianExpress,"Wing Commander Abhinandan Varthaman has been in Pakistan Army’s custody since Wednesday after his MiG-21 Bison was hit by ground air defence weapons when he was in the process of thwarting the PAF’s intrusion in the Indian airspace. 
Read more: https://t.co/kIOJZadqHH https://t.co/5dKvVJANRx"
134,2019-03-01 05:32:00+00:00,IndianExpress,"#ExpressExplained | India-Pakistan tension: If, as Donald Trump says, the US is involved in back-channel diplomacy, how can it unfold from here? @ieexplained 

https://t.co/lrIPp1tsWZ"
135,2019-03-01 05:31:14+00:00,IndianExpress,"The announcement, made during a joint session of Parliament in Pakistan, is being seen as first signs of de-escalation of tension between the two countries. 

Read more: https://t.co/kIOJZadqHH https://t.co/tbTuEqGr0X"
