,Date,User,Tweet
51,2019-03-02 14:38:02+00:00,ARYNEWSOFFICIAL,"The Foreign Office said that India has not yet responded to Pakistan’s request for a judicial probe into the killing of Pakistani prisoner Shakirullah inside a Jaipur prison
#ARYNews #ShakirUllah 
https://t.co/hwJGrWYZJM"
52,2019-03-02 14:21:00+00:00,ARYNEWSOFFICIAL,"Australian journalist schools Kohli over Abhinandan tribute
#ARYNews 
https://t.co/teRWGiZZ6p"
53,2019-03-02 14:14:08+00:00,ARYNEWSOFFICIAL,"Pakistanis troll Adnan Sami in an entirely unique fashion after anti-Pakistan tweet
#ARYNews
https://t.co/GXXFy9hIoC"
54,2019-03-02 14:09:53+00:00,ARYNEWSOFFICIAL,This Indian anchor has become a laughing stock in Pakistan https://t.co/sw6nOR537p
55,2019-03-02 13:53:38+00:00,ARYNEWSOFFICIAL,"Speaking to the media here, he advised India rulers to reciprocate Pakistan’s peace overtures in a similar way
#ARYNews #Kashmir #IndianOccupiedKashmir 
https://t.co/JhhcbwS9Zr"
56,2019-03-02 12:58:36+00:00,ARYNEWSOFFICIAL,"Sources said NAB officials took into custody documents related to the Pakistan Tehreek-e-Insaf (PTI) leader’s offshore properties and important record during the raid
#ARYNews #NAB 
https://t.co/hOetDHG4iC"
57,2019-03-02 12:55:14+00:00,ARYNEWSOFFICIAL,"#Breaking #ARYNews #ShahMehmoodQureshi

India should also play its role for the peace in region: FM Qureshi

Watch Live: https://t.co/nMYh5IFs5l"
58,2019-03-02 12:44:51+00:00,ARYNEWSOFFICIAL,"#ARYNews #Breaking #ShahMehmoodQureshi

Diplomacy remains the preferred front while dealing with India: Qureshi

Watch Live: https://t.co/nMYh5IFs5l"
59,2019-03-02 12:37:05+00:00,ARYNEWSOFFICIAL,"#Breaking #ARYNews 

Shakirullah’s body handed over to Pakistan at Wagah Border"
60,2019-03-02 11:53:13+00:00,ARYNEWSOFFICIAL,"Who is this lady with Indian pilot Abhinandan?
#ARYNews #Abhinandan
https://t.co/jVjpEROOhJ"
61,2019-03-02 10:59:14+00:00,ARYNEWSOFFICIAL,"“Establishment of peace in the region is the top most priority of the government,” the minister said 

#ARYNews #Abhinandan"
62,2019-03-02 10:48:15+00:00,ARYNEWSOFFICIAL,"Who is this lady with Indian pilot Abhinandan?

#ARYNews #Abhinandan"
63,2019-03-02 10:30:06+00:00,ARYNEWSOFFICIAL,"Australian journalist schools Kohli over Abhinandan tribute
#ARYNews #Abhinandan 
https://t.co/teRWGiZZ6p"
64,2019-03-02 10:06:57+00:00,ARYNEWSOFFICIAL,"Chief Justice of Pakistan Asif Saeed Khosa, has fixed a contempt petition filed by a lawyer on behalf of Lahore High Court Bar, for hearing on March 07
#ARYNews #SupremeCourt 
https://t.co/NdahJGSM7c"
65,2019-03-02 09:53:21+00:00,ARYNEWSOFFICIAL,"Pakistanis troll Adnan Sami in an entirely unique fashion after anti-Pakistan tweet
#ARYNews #Abhinandan
https://t.co/GXXFy9hIoC"
66,2019-03-02 09:02:47+00:00,ARYNEWSOFFICIAL,"Fawad slams Preity Zinta for ‘poking nose in issues beyond understanding’

#ARYNews #Abhinandan"
67,2019-03-02 08:29:23+00:00,ARYNEWSOFFICIAL,"Fawad slams Preity Zinta for ‘poking nose in issues beyond understanding’
#ARYNews #Budgam #Abhinandan
https://t.co/EBwuBCvSaB"
68,2019-03-02 08:23:16+00:00,ARYNEWSOFFICIAL,"The foreign minister said, “There was no pressure on Pakistan to release him nor any compulsion.”

#ARYNews #Abhinandan"
69,2019-03-02 08:17:35+00:00,ARYNEWSOFFICIAL,"“Under the leadership of Imran Khan, we will not let India stand victor. Imran Khan is the hero of Pakistan,” Fayyaz said in a statement
#ARYNews #Abhinandan 
https://t.co/6BC5mJEFCS"
70,2019-03-02 08:06:53+00:00,ARYNEWSOFFICIAL,Wrapper of ‘F-16 Naswar’ is India’s ‘proof’ against Pakistan https://t.co/IunuUaERCt
71,2019-03-02 07:59:56+00:00,ARYNEWSOFFICIAL,Pakistanis troll Adnan Sami in an entirely unique fashion after anti-Pakistan tweet https://t.co/GXXFy9hIoC
72,2019-03-02 07:06:08+00:00,ARYNEWSOFFICIAL,"Hunger, disease ‘alarmingly high’ in drought-hit Pakistan: Red Cross 
#ARYNews https://t.co/JNt9aCGaXB"
73,2019-03-02 06:40:38+00:00,ARYNEWSOFFICIAL,"UN chief urges Pak, India to keep up ‘positive momentum’ post-Abhinandan release 
#ARYNews https://t.co/sYPKhOwwEs"
74,2019-03-01 19:48:30+00:00,ARYNEWSOFFICIAL,India to hand over Shakirullah’s body to Pakistan Saturday https://t.co/V1qhNULBuC
75,2019-03-01 19:33:46+00:00,ARYNEWSOFFICIAL,"Pakistan stands for Peace! 

#ARYNews #PakistanLeadsWithPeace https://t.co/xqOYjrGLRl"
76,2019-03-01 17:22:27+00:00,ARYNEWSOFFICIAL,Pakistani passengers stuck at Bangkok airport as India closes airspace https://t.co/3lxFgYRmGY
77,2019-03-01 16:59:15+00:00,ARYNEWSOFFICIAL,India resorts to heavy shelling along LoC as Pakistan releases Abhinandan https://t.co/kS3Yn13ANJ
78,2019-03-01 16:37:42+00:00,ARYNEWSOFFICIAL,"The Pakistan Army is a very professional service. I see peace in it.

Details here: https://t.co/7gQuXAisjO

#ARYNews #PakistanLeadsWithPeace"
79,2019-03-01 16:18:24+00:00,ARYNEWSOFFICIAL,"Watch Indian Air Force pilot Abhinandan's video message right before he was sent back to his country. 
Read More: https://t.co/7gQuXAisjO 
#ARYNews 
https://t.co/sooiQyiqrH"
80,2019-03-01 16:13:14+00:00,ARYNEWSOFFICIAL,"Pakistani officials handed over Indian Air Force (IAF) pilot Abhinandan Varthaman to Indian counterparts at Wahga Border crossing.

Details here: https://t.co/ETLzClF1YN

#ARYNews #PakistanLeadsWithPeace"
81,2019-03-01 15:52:48+00:00,ARYNEWSOFFICIAL,"Watch live: Pakistan hands over IAF pilot Abhinandan to India
https://t.co/wggp8GG3IM
#ARYNews
https://t.co/ykQJmSPLPh"
82,2019-03-01 14:50:44+00:00,ARYNEWSOFFICIAL,"Wrapper of ‘F-16 Naswar’ is India’s proof against #Pakistan
#ARYNews
https://t.co/IunuUaERCt"
83,2019-03-01 14:31:13+00:00,ARYNEWSOFFICIAL,"Dummy Modi, Imran come face to face; along with dummy #Abhinandan
#ARYNews
https://t.co/JxaYWZSTi9"
84,2019-03-01 14:15:02+00:00,ARYNEWSOFFICIAL,"Is Adnan Sami Pakistan's undercover agent in India?

#ARYNews"
85,2019-03-01 13:57:29+00:00,ARYNEWSOFFICIAL,"When on one hand India is run by a bloodthirsty, warmongering man who is escalating hatred for minorities across the country, minorities in Pakistan are over the moon by the kindness they get from the people and government of Pakistan.

#ARYStories #PakistanLeadsWithPeace https://t.co/dnR1PbF86y"
86,2019-03-01 13:52:24+00:00,ARYNEWSOFFICIAL,"Pakistanis troll Adnan Sami in an entirely unique fashion after anti-Pakistan tweet
#ARYNews #Abhinandan #Budgam
https://t.co/GXXFy9hIoC"
87,2019-03-01 13:29:19+00:00,ARYNEWSOFFICIAL,"India has lost at least 8 war planes in the past one month, two of them were shot down by the PAF in a recent engagement and a pilot #Abhinandan was also taken into the custody
#ARYNews
https://t.co/FztNaPqRjv"
88,2019-03-01 13:24:49+00:00,ARYNEWSOFFICIAL,"PM Imran Khan has won hearts worldwide with his monumental decision of releasing captive Indian air force pilot Abhinandan Varthaman as a peace gesture
#ARYNews #NobelPeacePrizeForImranKhan #Abhinandan
https://t.co/DQou81xXkP"
89,2019-03-01 13:12:56+00:00,ARYNEWSOFFICIAL,"Jordan’s King Abdullah II telephoned Prime Minister Imran Khan and voiced concern over the latest tensions between Pakistan and India
#ARYNews 
https://t.co/2bGaDkkAGV"
90,2019-03-01 13:03:22+00:00,OfficialDGISPR,"COAS had tel comm with Comd USCENTCOM, CDS UK, CDF Australia and Ambs of US, UK &amp; China in Pak. Prevailing stand off between Pakistan &amp; India &amp; its impact on peace &amp; stability in the region &amp; beyond discussed. “Pak shall surely respond to any aggression in self defence”, COAS."
91,2019-03-01 12:57:56+00:00,ARYNEWSOFFICIAL,"Pakistan plans to lodge a complaint against India at the United Nations, over “eco-terrorism” in the wake of air strikes that damaged pine trees

#ARYNews #Balakot #Budgam"
92,2019-03-01 12:42:04+00:00,ARYNEWSOFFICIAL,"Justice Athar Minallah of the high court dismissed the constitutional petition after hearing initial arguments.
#ARYNews #Abhinandan
https://t.co/TF3tpxLazr"
93,2019-03-01 12:31:06+00:00,ARYNEWSOFFICIAL,"Prime Minister’s Imran Khan move to release pilot Abhinandan Varthman as a ‘gesture of peace’ is being applauded worldwide including India.

#ARYNews #PMImranKhan #Abhinandan"
94,2019-03-01 12:16:26+00:00,ARYNEWSOFFICIAL,"PM Imran Khan has won hearts worldwide with his monumental decision of releasing captive Indian air force pilot #Abhinandan Varthaman as a peace gesture

#ARYNews #LetBetterSenesePrevail #NobelPeacePrizeForImranKhan"
95,2019-03-01 11:22:38+00:00,ARYNEWSOFFICIAL,"India has lost at least 8 war planes in the past one month, two of them were shot down by the PAF in a recent engagement and a pilot Abhinandan was also taken into the custody

#ARYNews #PakistanStrikesBack #Abhinandan"
96,2019-03-01 11:16:00+00:00,ARYNEWSOFFICIAL,"A bumper harvest has led to a crash in turmeric prices in India, the world’s biggest producer and exporter of the bright yellow spice
#ARYNews
https://t.co/aiuqpx9XlR"
97,2019-03-01 11:06:15+00:00,ARYNEWSOFFICIAL,"India has lost at least 8 war planes in the past one month, two of them were shot down by the PAF in a recent engagement and a pilot Abhinandan was also taken into the custody
#ARYNews #PakistanStrikesBack #Abhinandan
https://t.co/FztNaPqRjv"
98,2019-03-01 10:54:23+00:00,ARYNEWSOFFICIAL,"#Breaking #Abhinandan #ARYNews #LetBetterSensePrevail

IAF Pilot Abhinandan brought to Wagah border; will soon be handed over to India"
99,2019-03-01 10:42:03+00:00,ARYNEWSOFFICIAL,"Dummy Modi, Imran come face to face; along with dummy Abhinandan
#ARYNews #Abhinandan
https://t.co/JxaYWZSTi9"
100,2019-03-01 10:24:57+00:00,ARYNEWSOFFICIAL,"Pakistan believes that with such a record India has no legal or moral grounds to be present at the meeting, said the FO 
#ARYNews #OICSummit
https://t.co/7jogvCmjZY"
101,2019-03-01 10:16:05+00:00,ARYNEWSOFFICIAL,"“The country would like to utilize Turkey’s experiences in the railways sector,” Sheikh said during his meeting with the Turkish ambassador to Pakistan Ihsan Mustafa Yurdakul
#ARYNews
https://t.co/w8CDdSQDm3"
102,2019-03-01 09:25:09+00:00,ARYNEWSOFFICIAL,"“The whole nation pays rich tribute to the PAF for a befitting response to Indian provocation and proud of Squadron leader Hassan Siddiqui,” the resolution read

#ARYNews #Budgam #Abhinandan #PakistanStrikesBack #JointSession"
103,2019-03-01 09:12:07+00:00,ARYNEWSOFFICIAL,"Russia is ready to mediate between India and Pakistan to try to calm tensions between the two nuclear powers, Russian government officials said 
#ARYNews #Abhinandan #Budgam #Balakot
https://t.co/J4kWzmhv7Y"
